mean,std,var,rms,skewness,kurtosis,ptp,min,max,median,iqr,mad,zero_crossing_rate,n_peaks,rr_mean,rr_std,rr_cv,peak_amp_mean,dominant_freq,spectral_centroid,spectral_energy,band_power_0_5,band_power_5_15,band_power_15_40,d1_energy,d2_energy,label
-0.31840833333333335,0.16677428171533723,0.027813661041666667,0.3594405761426745,5.114509608071809,30.567242608849,1.56,-0.585,0.975,-0.345,0.08500000000000002,0.07675212499999999,0.06222222222222222,12,0.8189393939393939,0.02537093451031598,0.03098023455468742,1.4458333333333335,6.328125,13.893330864927215,3.952738217517289e-05,0.17631780432528216,0.43046783679384387,0.3788239013496834,0.0023536537927202,0.0006989230127848805,N
-0.36776805555555553,0.17929359172906326,0.032146192035108025,0.40914488231214896,4.772313894235204,27.944514988154612,1.73,-0.68,1.05,-0.39,0.10625000000000001,0.08786448070987656,0.050555555555555555,14,0.6833333333333333,0.1894599211664437,0.27725842121918587,1.3075000000000003,6.328125,13.99085752259156,6.159586454467644e-05,0.17109246937755906,0.4328947499564909,0.3804322161280853,0.002577590997499305,0.0007660575319622014,N
-0.36865277777777783,0.17209075123013037,0.02961522665895062,0.40684161196001356,4.960877125084796,29.75827574210041,1.745,-0.695,1.05,-0.395,0.09000000000000002,0.08179921296296297,0.049444444444444444,14,0.7442307692307693,0.15734042225047315,0.21141348726161766,1.3021428571428568,6.328125,14.329580663536253,4.526984226317232e-05,0.16690398214976948,0.41967308557965355,0.39643992260644934,0.0025570297304806887,0.0007568579766536965,N
-0.3446916666666666,0.17808160407053092,0.03171305770833333,0.38797603376726475,4.801553379484585,27.18790143463746,1.6600000000000001,-0.64,1.02,-0.37,0.09499999999999997,0.08420600925925928,0.04666666666666667,13,0.8157407407407407,0.018851178769909563,0.02310927703916269,1.4569230769230768,6.328125,13.280522931628107,4.6540206382280465e-05,0.1886759289058612,0.43816580974703295,0.3618005139591578,0.002545582106140595,0.0007132504168982769,N
-0.2986444444444445,0.17512137448772247,0.030667495802469132,0.3462022530255977,4.238194464075461,23.997182440516767,1.6800000000000002,-0.65,1.03,-0.32,0.125,0.09426853086419751,0.04027777777777778,12,0.8073232323232322,0.024195029428289862,0.02996944527245163,1.4312500000000001,6.328125,14.305961338852367,4.7093692519712295e-05,0.16379267501084718,0.42644734464391365,0.3927166646788112,0.002365261183662128,0.0007190314063368538,N
-0.28126805555555556,0.17430428082203203,0.030381982312885806,0.33089832485053305,4.80399285347831,27.827729761462024,1.71,-0.59,1.12,-0.305,0.09499999999999997,0.08355569212962961,0.05722222222222222,13,0.8030092592592594,0.021560111122913377,0.026849143860186157,1.371923076923077,6.328125,14.300339799640273,4.479295678323391e-05,0.1755455764528378,0.40870847379916,0.3987022899530844,0.0025846068352320087,0.0007813229571984435,N
-0.3296305555555556,0.17229203134898033,0.029684544066358023,0.37194199443222625,4.822305184871799,28.125510800938766,1.615,-0.655,0.96,-0.355,0.09500000000000003,0.08267205401234567,0.0525,14,0.6927350427350427,0.19047392554459416,0.27495927561650235,1.2864285714285715,6.328125,13.9557037455579,4.0779581378391525e-05,0.16867690576979535,0.42847125408530834,0.3894748812211825,0.002502445123645457,0.0007121178432462479,N
-0.3142652777777778,0.17504152813588283,0.030639536572145062,0.3597251748055575,4.799909737576276,28.16232262108789,1.705,-0.67,1.035,-0.34,0.09500000000000003,0.08414479706790123,0.050555555555555555,12,0.8106060606060606,0.02371318346175449,0.029253646887398066,1.4991666666666665,6.328125,14.128634837850433,5.77681220504621e-05,0.15666657387958519,0.44068854281102543,0.38735410200387577,0.002510030564045568,0.000739994441356309,N
-0.31332638888888886,0.18012333081426887,0.032444414303626545,0.3614109022674576,4.969187630298467,29.442801043664844,1.775,-0.65,1.125,-0.34,0.09000000000000002,0.08439501157407407,0.05555555555555555,13,0.7958333333333333,0.04950241088197191,0.06220198226006942,1.4319230769230769,6.328125,14.21138138509836,5.745978718154803e-05,0.16850976972669648,0.4250899435982978,0.388912224907451,0.0027135523756599057,0.0008106100611450806,N
-0.3100097222222222,0.17614697513702254,0.03102775684992284,0.3565582487087099,4.842198872617905,27.77018320508403,1.62,-0.62,1.0,-0.335,0.09000000000000002,0.08324351620370371,0.04777777777777778,13,0.8175925925925926,0.02152653321770866,0.026329168601500964,1.4815384615384617,6.328125,14.348285644680779,3.805061137604347e-05,0.16534398868309652,0.4212362629740074,0.39647501074788577,0.0027371283689913866,0.0008186075597554197,N
